periodo,molienda_cereales_y_oleaginosas,resto_de_alimentos,bebidas,tabaco,textil_indumentaria_y_cuero,madera_papel_y_edicion,refinacion_de_petroleo,quimicos,caucho_y_plastico,minerales_no_metalicos,metales_basicos,metalmecanica,automotriz,resto_de_industria,total_industria
2017-10-01,105968.0933783892,137480.1849619696,48155.17484612427,2501.167118682732,67248.5131876399,105466.8502056429,61901.24884524402,209324.3676251897,79760.82561280156,172657.9194751973,224081.8391077482,21461.40220991599,37647.18360258907,1005.592455774168,1270153.932740875
2017-11-01,95843.92451259337,138369.6920995769,50357.82425057205,2406.637679978375,67886.99369883088,105754.9461751493,53138.40245219866,205636.4933974889,78493.25419954653,173188.5804936368,246483.002166843,21157.40123483401,37591.74754416397,1022.608925067452,1282729.512681313
2017-12-01,93226.51612956943,137739.1534892932,49871.60838569361,2437.006391905526,72474.15999854925,106434.2041802424,65640.00861313465,209680.106411041,78915.64134410938,172751.1670711774,250273.025028149,21881.82311509034,38813.76106438528,1085.774539739162,1307683.815552034
2018-01-01,98691.50832467504,136861.2463842678,49759.15469349761,2324.786395473498,67067.122734192,107710.7078802081,60447.04272856551,206516.7269469152,76959.34228877493,177176.7987201652,247742.2519811241,21093.55079940429,36623.7612275959,1074.138509438179,1294230.575991033
2018-02-01,98085.08082991942,137374.5164762731,48128.65697996938,2253.323447876719,60701.2376006859,106948.3243625472,60594.98430297375,198947.3069807681,77142.11771383756,173189.9966568644,293826.8608292274,20950.0138225637,40220.11946718404,1155.909920136292,1317249.856043717
2018-03-01,96550.64964620267,137910.2438222013,49246.68092815185,2245.064847734187,63714.06183530414,110849.3799790842,61798.08232107772,202824.1001121533,76042.5045687478,172315.9421568516,273267.8181355323,20898.96492724662,38729.92587443808,1151.200003419588,1311945.759907049
2018-04-01,93265.09542567088,141677.8795626294,49970.38565548643,2283.802837960913,62645.96164356929,106894.5550001097,63238.88572281331,203975.7665722941,76997.04320947579,176427.5393524189,293570.8037934848,21404.51237630386,39716.41107837346,1232.650261913913,1333678.228094114
2018-05-01,93826.68671251336,136765.7661102217,49907.48051104986,2163.484727759983,60370.67788945823,106624.6409317972,56790.21192622195,201714.9757826805,75743.52446991162,171437.4595053264,273127.0131740682,19793.61385975895,38030.6966063034,1280.547211946152,1289225.223316771
2018-06-01,88162.02664517028,133696.5997606204,46510.78222870688,2119.584189015949,59329.89375980821,107088.5320485956,62433.70322769275,198633.1004628953,71918.17953695187,167036.4454440586,259008.1900273543,18439.10264109617,35064.17892338905,1225.290605145076,1249655.986865217
2018-07-01,83886.89530862155,136134.6562099295,47450.67520301775,2162.410827176842,57385.79069094882,101849.467904643,63603.58236039925,195049.2236460683,71013.30928501768,160167.2841175145,264377.9257705589,18628.71792151694,36995.00282331159,1262.192467188001,1231926.06348603
2018-08-01,85524.44617546015,136028.7460785642,45391.9834195943,2071.832901722922,56772.63575288669,102665.1806510334,64778.38387252414,193305.4901143824,71680.5157295485,163254.6424905828,264439.6370404155,18771.4820986092,37284.55612391446,1253.391796233398,1232134.957133947
2018-09-01,90258.51208605334,138545.9479150081,44426.86515543729,2163.99478462463,54168.36978623599,101662.0247307153,71196.34726525258,197837.1159688018,69572.84448909129,163422.4360902739,255503.8365550583,18175.27994799434,34139.94353799151,1187.836818818345,1245333.931487481
2018-10-01,93530.13103614835,136727.39725476,46687.14147541609,2166.425221579754,52210.70303727725,100057.103614878,63180.38216880662,198193.6893840672,68366.72797478801,159666.4087924854,254261.5279797078,17692.62616230691,35150.57271514174,1147.337528308827,1224315.479010376
2018-11-01,95608.87350642458,135448.5320923192,43581.70535926217,2167.19848087234,48329.45424065566,98915.55493245041,61813.65731517161,195119.6829264978,66570.71134569393,156697.9353892587,253226.1069485428,17873.44211703008,33642.35142313441,1105.409844498335,1210283.115117359
2018-12-01,97155.04445084906,136227.9523686956,41097.69062460998,2015.214081404365,50321.08727028483,97541.29875447185,62641.8409155731,199905.0786168464,64875.1224748735,162626.0299641851,204145.5389070482,18471.87375289385,31186.51356912846,1041.918346939276,1182702.177438237
2019-01-01,96124.66595680012,137006.8868039981,40830.18253244163,2115.460329426738,46822.39495059798,97858.5293132238,62489.28402870138,195903.0703834215,67624.37369932178,159730.7026178448,239086.7536176538,16027.30388121797,31927.0700870644,1147.005324365751,1205668.855426753
2019-02-01,94107.07152750636,138301.1371868858,42772.93005696102,2015.725485787157,53842.78147362751,99790.4433346077,62292.14914538465,199632.8179603656,69016.34365927611,163242.0648989845,230868.4634704326,18117.16900929014,35946.01086426054,1229.969180660788,1209908.445595669
2019-03-01,90029.18053853419,133154.2364846403,40757.26532187448,1853.455798503878,51851.22144252721,96787.78070438969,63448.71148708469,198683.8899060485,61799.49350136737,163633.4140497158,243046.1951577931,17994.11151211974,27801.5870122933,1060.352938006582,1197968.590006455
2019-04-01,111633.1794823367,135648.543889474,46709.8304246055,1771.95901776988,54859.54145655523,99041.07995487232,54298.24761992165,195470.1065895015,63653.14855187087,162505.9303170674,277443.5006470912,18331.9411137291,30623.23542645078,1050.72483585433,1248713.851741023
2019-05-01,103929.4182062963,135919.233812191,43734.69716940958,1850.106803006512,56049.64134660759,98256.82145922865,63786.77739855368,192806.4756588484,64596.35242073445,161903.5715519861,241101.5783902134,19163.20961398763,30675.62455523065,995.9948949489874,1206293.092115866
2019-06-01,105745.8510399262,138267.0062543904,45479.85929986763,1827.198079619513,55659.52633833408,96680.64919717457,61715.2566943007,188320.7718894759,63004.19682072231,149900.6321774454,241978.634163613,19904.10095928209,26877.08912331764,995.9840881913874,1197467.858973776
2019-07-01,104910.3948558605,136311.2780255487,45575.40184306309,1765.993773636381,57258.25688182258,96629.1267444541,60920.39568409755,197527.9232099483,66486.34130449874,154297.2119040373,249406.428468267,19170.6064449593,29112.37228260262,1064.920373123603,1211759.932585702
2019-08-01,97850.16087638818,135992.4265256077,46018.8210439543,1798.821448739969,57262.2625115554,100623.4077676346,65894.22280675132,194785.8003906018,63390.25656551095,163249.2544824766,263773.5486255644,18255.40898876237,29719.84878122085,1041.57732081205,1234861.574364692
2019-09-01,89271.74744452999,133644.4461502752,49666.35077278998,1756.117067867618,56889.42770185888,97485.76372257058,66247.28850203093,184019.8506995988,62470.47185033714,164156.7069722873,241449.8408377775,19068.07588777049,29761.83701510335,1167.498153361304,1191188.07352497
2019-10-01,89366.23636796547,134783.2130792768,48925.57587222932,1776.384945631197,57980.82349174792,102635.5836410024,64774.44888671066,199105.8875176742,64726.78312395499,160155.5619062824,243447.6885207561,19479.14776092395,31021.90206220772,1223.597880699838,1220733.428160348
2019-11-01,83876.65711301607,136425.1848031188,47870.1150856949,1760.359627397856,58172.10102403603,101985.5550052081,63123.3105700162,194945.429249759,64679.52564372663,140679.7137855523,220867.8140154151,19415.21519091009,29282.47000019941,1199.849332220324,1167747.148996397
2019-12-01,85331.11550148227,136544.8682541189,47908.91286262465,1746.876306891593,57599.18427964114,100473.6106384213,64216.46448112078,195361.2854047782,66169.6780504738,145891.5591697758,185651.1771627894,18951.83390132316,28133.77915315862,1159.710961522717,1151190.46720333
2020-01-01,93657.72583282477,134322.3969461986,49395.1856069995,1730.359870042593,59526.21957192973,99902.92835036553,60937.97029952855,198744.8498027432,63986.46224421509,154152.9389548616,187011.4258782309,19532.8879906442,34127.90985313286,1097.601715771769,1163580.775699651
2020-02-01,86521.25732853664,134508.3596855462,48084.6480688789,1748.627008883273,57958.23419633162,98074.41965410647,63425.60170884368,200715.4791226572,67048.25715094533,160391.435061605,192248.2325426962,20402.59400328799,34146.58692208112,1030.668148458984,1167937.319743058
